epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,13907,0.46581,0.39947,0.9287,0.47436,0.49455,0.4768,0.24101,1.89448,1.75001,1.75719,0.000472,0.000472,0.000472
90,14062.3,0.46797,0.3984,0.92848,0.4658,0.49691,0.47637,0.24124,1.89472,1.74808,1.75771,0.000466,0.000466,0.000466
91,14218.8,0.45998,0.39471,0.92521,0.4628,0.50257,0.47704,0.24137,1.89504,1.74728,1.75841,0.00046,0.00046,0.00046
92,14374.1,0.45725,0.39138,0.91987,0.4636,0.49753,0.47712,0.24109,1.89602,1.74678,1.75949,0.000454,0.000454,0.000454
93,14529,0.45928,0.39439,0.92513,0.48482,0.48413,0.47565,0.24121,1.8965,1.74554,1.76003,0.000448,0.000448,0.000448
94,14686.4,0.45633,0.3878,0.92258,0.48462,0.48481,0.47672,0.24163,1.89695,1.74387,1.76071,0.000442,0.000442,0.000442
95,14842.5,0.45437,0.38532,0.9224,0.4892,0.48088,0.4762,0.2415,1.89745,1.7428,1.76165,0.000436,0.000436,0.000436
96,14999,0.45189,0.38491,0.9208,0.4787,0.48916,0.47815,0.24255,1.89858,1.74257,1.76255,0.00043,0.00043,0.00043
97,15158.1,0.44776,0.38108,0.9192,0.48075,0.48852,0.47892,0.24297,1.89949,1.74177,1.76298,0.000424,0.000424,0.000424
98,15316.7,0.4449,0.37872,0.91842,0.48381,0.48752,0.47915,0.24353,1.90017,1.74138,1.76339,0.000418,0.000418,0.000418
99,15472.2,0.44033,0.37285,0.91551,0.48449,0.4873,0.47915,0.24232,1.90127,1.74054,1.7641,0.000412,0.000412,0.000412
100,15628.9,0.4413,0.37414,0.91607,0.48355,0.48797,0.47977,0.24134,1.90174,1.74028,1.76491,0.000406,0.000406,0.000406
101,15784.9,0.4425,0.37458,0.91717,0.48626,0.4872,0.48038,0.24147,1.90244,1.7388,1.7655,0.0004,0.0004,0.0004
102,15940.5,0.43627,0.3699,0.91426,0.48796,0.49091,0.48054,0.24157,1.9027,1.73942,1.76595,0.000394,0.000394,0.000394
103,16095.2,0.43451,0.36575,0.91523,0.49032,0.48905,0.48102,0.24208,1.90245,1.73817,1.76622,0.000388,0.000388,0.000388
104,16250.1,0.43204,0.36417,0.91475,0.49173,0.48871,0.48105,0.24215,1.9028,1.73795,1.76687,0.000382,0.000382,0.000382
105,16404,0.43615,0.36707,0.91513,0.49431,0.49165,0.48189,0.24241,1.90347,1.73777,1.76757,0.000376,0.000376,0.000376
106,16558.6,0.43556,0.36776,0.91413,0.49756,0.49353,0.48195,0.24191,1.90474,1.73788,1.7686,0.00037,0.00037,0.00037
